workload,normalized_shots_number_Original,normalized_shots_number_JigSaw,normalized_shots_number_QuTracer,average_counts_for_2q_basis_gates_Original,average_counts_for_2q_basis_gates_JigSaw,average_counts_for_2q_basis_gates_QuTracer,fidelity_Original,fidelity_JigSaw,fidelity_QuTracer
QFTMultiplier_n4,1,1,11,30,30,20,0.27,0.27,0.66
qpe_n5,1,1,11,27,27,11,0.17,0.18,0.41
qpe_n6,1,1,11,44,44,16,0.07,0.07,0.26
QFTAdder_n7,1,1,15,77,77,37,0.08,0.08,0.12
bv_n9,1,1,11,14,14,1,0.05,0.11,0.94
vqe_reps1_n12,1,1,11,11,11,2,0.2,0.29,0.97
vqe_reps1_n15,1,1,11,14,14,2,0.04,0.07,0.86
qaoa_reps1_n10,1,1,16,26,26,6,0.46,0.51,0.84
